"school_id","year","name","enrollment","low_income","income_label"
"610246",2015,"Edward Beasley Elementary Magnet Academic Center",1415.0,1160.0,"Economically Disadvantaged"
"609862",2015,"Edward Coles Elementary Language Academy",548.0,526.0,"Economically Disadvantaged"
"609909",2015,"Edward Everett Elementary School",238.0,232.0,"Economically Disadvantaged"
"610012",2015,"Edward Jenner Elementary Academy of the Arts",245.0,236.0,"Economically Disadvantaged"
"609904",2015,"Edward K Ellington Elementary School",696.0,687.0,"Economically Disadvantaged"
"610006",2015,"Edward N Hurley Elementary School",846.0,816.0,"Economically Disadvantaged"
"609735",2015,"Edward Tilden Career Community Academy HS",328.0,319.0,"Economically Disadvantaged"
"610315",2015,"Edward White Elementary Career Academy",178.0,177.0,"Economically Disadvantaged"
"609708",2015,"Edwin G Foreman High School",1276.0,1229.0,"Economically Disadvantaged"
"610227",2015,"Eli Whitney Elementary School",1104.0,1082.0,"Economically Disadvantaged"
"609852",2015,"Eliza Chappell Elementary School",554.0,463.0,"Economically Disadvantaged"
"610195",2015,"Elizabeth H Sutherland Elementary School",729.0,246.0,"Economically Disadvantaged"
"610235",2015,"Ella Flagg Young Elementary School",1024.0,1006.0,"Economically Disadvantaged"
"609682",2015,"Ellen H Richards Career Academy High School",354.0,348.0,"Economically Disadvantaged"
"610073",2015,"Ellen Mitchell Elementary School",367.0,247.0,"Economically Disadvantaged"
"609712",2015,"Emil G Hirsch Metropolitan High School",201.0,200.0,"Economically Disadvantaged"
"609973",2015,"Emiliano Zapata Elementary Academy",903.0,884.0,"Economically Disadvantaged"
"610065",2015,"Emmett Louis Till Math and Science Academy",386.0,383.0,"Economically Disadvantaged"
"610203",2015,"Enrico Tonti Elementary School",1082.0,1048.0,"Economically Disadvantaged"
"400094",2015,"EPIC Academy High School",421.0,405.0,"Economically Disadvantaged"
"610543",2015,"Eric Solorio Academy High School",1083.0,1046.0,"Economically Disadvantaged"
"400039",2015,"Erie Elementary Charter School",440.0,397.0,"Economically Disadvantaged"
"610137",2015,"Ernst Prussing Elementary School",700.0,543.0,"Economically Disadvantaged"
"609908",2015,"Esmond Elementary School",329.0,310.0,"Economically Disadvantaged"
"609918",2015,"Eugene Field Elementary School",352.0,337.0,"Economically Disadvantaged"
"609874",2015,"Everett McKinley Dirksen Elementary School",842.0,681.0,"Economically Disadvantaged"
"610319",2015,"Evergreen Academy Middle School",371.0,356.0,"Economically Disadvantaged"
"400176",2015,"Excel Academy - Southwest",2.0,1.0,"Economically Disadvantaged"
"610565",2015,"Excel Academy of Englewood",340.0,322.0,"Economically Disadvantaged"
"610057",2015,"Fairfield Elementary Academy",612.0,605.0,"Economically Disadvantaged"
"610541",2015,"Federico Garcia Lorca Elementary School",903.0,885.0,"Economically Disadvantaged"
"610120",2015,"Ferdinand Peck Elementary School",1644.0,1594.0,"Economically Disadvantaged"
"609917",2015,"Fernwood Elementary School",342.0,334.0,"Economically Disadvantaged"
"610096",2015,"Florence Nightingale Elementary School",1310.0,1285.0,"Economically Disadvantaged"
"609924",2015,"Fort Dearborn Elementary School",392.0,385.0,"Economically Disadvantaged"
"609927",2015,"Foster Park Elementary School",356.0,333.0,"Economically Disadvantaged"
"400171",2015,"Foundations College Prep Charter School",112.0,106.0,"Economically Disadvantaged"
"610067",2015,"Francis M McKay Elementary School",868.0,846.0,"Economically Disadvantaged"
"610112",2015,"Francis W Parker Elementary Community Academy",785.0,783.0,"Economically Disadvantaged"
"610215",2015,"Francisco I Madero Middle School",323.0,321.0,"Economically Disadvantaged"
"609800",2015,"Frank I Bennett Elementary School",373.0,359.0,"Economically Disadvantaged"
"609939",2015,"Frank L Gillespie Elementary School",573.0,553.0,"Economically Disadvantaged"
"609958",2015,"Frank W Gunsaulus Elementary Scholastic Academy",860.0,797.0,"Economically Disadvantaged"
"610144",2015,"Frank W Reilly Elementary School",1087.0,1043.0,"Economically Disadvantaged"
"609926",2015,"Franklin Elementary Fine Arts Center",367.0,158.0,"Economically Disadvantaged"
"610165",2015,"Franz Peter Schubert Elementary School",939.0,911.0,"Economically Disadvantaged"
"400040",2015,"Frazier Preparatory Academy Elementary School",406.0,395.0,"Economically Disadvantaged"
"610503",2015,"Frazier Prospective IB Magnet ES",292.0,270.0,"Economically Disadvantaged"
"609854",2015,"Frederic Chopin Elementary School",544.0,526.0,"Economically Disadvantaged"
"610245",2015,"Frederick A Douglass Academy High School",243.0,236.0,"Economically Disadvantaged"
"609930",2015,"Frederick Funston Elementary School",550.0,543.0,"Economically Disadvantaged"
"610163",2015,"Frederick Stock Elementary School",248.0,72.0,"Economically Disadvantaged"
"610010",2015,"Friedrich Ludwig Jahn Elementary School",338.0,261.0,"Economically Disadvantaged"
"609737",2015,"Friedrich W von Steuben Metropolitan Science HS",1687.0,1320.0,"Economically Disadvantaged"
"609709",2015,"Gage Park High School",465.0,458.0,"Economically Disadvantaged"
"400041",2015,"Galapagos Elementary Charter School",338.0,327.0,"Economically Disadvantaged"
"610009",2015,"Galileo Math & Science Scholastic Academy ES",560.0,379.0,"Economically Disadvantaged"
"610293",2015,"Genevieve Melody Elementary School",608.0,559.0,"Economically Disadvantaged"
"609779",2015,"George Armstrong International Studies ES",1461.0,1367.0,"Economically Disadvantaged"
"610062",2015,"George B McClellan Elementary School",306.0,280.0,"Economically Disadvantaged"
"610196",2015,"George B Swift Elementary Specialty School",718.0,624.0,"Economically Disadvantaged"
"609849",2015,"George F Cassell Elementary School",394.0,100.0,"Economically Disadvantaged"
"609761",2015,"George H Corliss High School",421.0,409.0,"Economically Disadvantaged"
"610305",2015,"George Leland Elementary School",630.0,628.0,"Economically Disadvantaged"
"610139",2015,"George M Pullman Elementary School",286.0,278.0,"Economically Disadvantaged"
"610048",2015,"George Manierre Elementary School",359.0,347.0,"Economically Disadvantaged"
"609795",2015,"George Rogers Clark Elementary School",290.0,272.0,"Economically Disadvantaged"
"609900",2015,"George W Curtis Elementary School",647.0,642.0,"Economically Disadvantaged"
"610202",2015,"George W Tilton Elementary School",377.0,376.0,"Economically Disadvantaged"
"609760",2015,"George Washington Carver Military Academy HS",504.0,477.0,"Economically Disadvantaged"
"609845",2015,"George Washington Carver Primary School",447.0,444.0,"Economically Disadvantaged"
"610219",2015,"George Washington Elementary School",867.0,689.0,"Economically Disadvantaged"
"609739",2015,"George Washington High School",1474.0,1367.0,"Economically Disadvantaged"
"609693",2015,"George Westinghouse College Prep",1123.0,947.0,"Economically Disadvantaged"
"609920",2015,"Gerald Delgado Kanoon Elementary Magnet School",716.0,712.0,"Economically Disadvantaged"
"400168",2015,"Great Lakes Academy Charter School",125.0,115.0,"Economically Disadvantaged"
"610383",2015,"Greater Lawndale High School For Social Justice",326.0,317.0,"Economically Disadvantaged"
"609857",2015,"Grover Cleveland Elementary School",659.0,598.0,"Economically Disadvantaged"
"609741",2015,"Gurdon S Hubbard High School",1701.0,1663.0,"Economically Disadvantaged"
"609726",2015,"Gwendolyn Brooks College Preparatory Academy HS",790.0,588.0,"Economically Disadvantaged"
"610182",2015,"Hannah G Solomon Elementary School",358.0,226.0,"Economically Disadvantaged"
"610068",2015,"Hanson Park Elementary School",1570.0,1539.0,"Economically Disadvantaged"
