school_id,level,subject,tested,proficiency
610030,ES,math,152,6.6
610032,ES,math,174,5.7
610033,ES,math,321,43.9
610034,ES,math,130,3.8
610036,ES,math,269,4.1
610037,ES,math,152,4.6
610038,ES,math,569,71.9
610039,ES,math,396,21.7
610040,ES,math,380,8.2
610041,ES,math,713,7.9
610043,ES,math,229,9.6
610044,ES,math,177,8.5
610046,ES,math,701,17.3
610047,ES,math,135,1.5
610048,ES,math,141,1.4
610051,ES,math,515,8.2
610052,ES,math,178,12.9
610053,ES,math,626,9.6
610054,ES,math,389,10
610055,ES,math,113,1.8
610056,ES,math,145,4.8
610057,ES,math,318,2.2
610059,ES,math,367,56.1
610060,ES,math,294,45.9
610062,ES,math,174,11.5
610063,ES,math,195,3.6
610065,ES,math,188,0.5
610066,ES,math,133,67.7
610067,ES,math,341,6.2
610068,ES,math,659,17.5
610070,ES,math,326,18.4
610073,ES,math,236,45.3
610074,ES,math,377,8.8
610076,ES,math,251,5.2
610077,ES,math,355,6.8
610078,ES,math,395,20.8
610081,ES,math,351,52.1
610082,ES,math,714,48.3
610084,ES,math,164,90.2
610086,ES,math,144,5.6
610088,ES,math,306,9.5
610089,ES,math,273,24.5
610090,ES,math,311,13.2
610091,ES,math,194,4.1
610092,ES,math,127,2.4
610093,ES,math,102,7.8
610094,ES,math,340,55
610095,ES,math,211,12.3
610096,ES,math,603,10.6
610097,ES,math,340,6.2
610098,ES,math,402,8
610099,ES,math,227,33
610100,ES,math,283,9.5
610101,ES,math,520,12.7
610102,ES,math,185,2.7
610103,ES,math,345,4.6
610104,ES,math,416,39.7
610105,ES,math,371,46.1
610106,ES,math,390,3.8
610107,ES,math,190,5.8
610108,ES,math,197,9.6
610109,ES,math,165,10.9
610110,ES,math,174,8
610111,ES,math,451,18.4
610112,ES,math,215,5.1
610115,ES,math,161,5
610116,ES,math,140,10
610117,ES,math,188,34
610120,ES,math,254,12.6
610121,ES,math,179,3.9
610122,ES,math,552,28.1
610123,ES,math,101,6.9
610124,ES,math,149,8.7
610125,ES,math,290,8.6
610126,ES,math,265,7.9
610127,ES,math,591,24.2
610128,ES,math,139,5
610129,ES,math,220,15.9
610130,ES,math,92,4.3
610131,ES,math,69,8.7
610132,ES,math,141,65.2
610133,ES,math,162,0.6
610135,ES,math,519,13.3
610136,ES,math,241,58.5
610137,ES,math,439,18.7
610138,ES,math,542,37.6
610139,ES,math,217,4.1
610141,ES,math,332,45.8
610142,ES,math,362,14.1
610143,ES,math,151,3.3
610144,ES,math,370,9.2
610145,ES,math,401,10.7
610146,ES,math,123,1.6
610147,ES,math,440,34.1
610148,ES,math,478,33.5
610152,ES,math,210,9
610153,ES,math,158,7.6
610155,ES,math,395,60.3
610157,ES,math,639,11
610158,ES,math,239,13.8
610159,ES,math,403,18.1
610165,ES,math,274,2.9
610167,ES,math,271,4.1
610170,ES,math,444,23.4
610171,ES,math,287,5.2
610172,ES,math,135,3
610173,ES,math,109,9.2
610174,ES,math,166,17.5
610175,ES,math,197,13.2
610176,ES,math,253,7.5
610177,ES,math,654,60.4
610178,ES,math,90,12.2
610179,ES,math,501,18.4
610180,ES,math,208,1.9
610182,ES,math,171,36.3
610183,ES,math,253,7.1
610184,ES,math,211,3.8
610185,ES,math,689,13.4
610188,ES,math,110,10.9
610191,ES,math,381,42.8
610192,ES,math,334,4.2
610193,ES,math,206,4.4
610194,ES,math,129,13.2
610195,ES,math,426,20.7
610196,ES,math,288,18.8
610197,ES,math,292,14.4
610198,ES,math,220,11.8
610199,ES,math,105,22.9
610200,ES,math,140,3.6
610201,ES,math,541,33.8
610202,ES,math,160,7.5
610203,ES,math,344,23.3
610206,ES,math,605,19.3
610207,ES,math,162,3.7
610208,ES,math,221,3.2
610209,ES,math,442,7.9
610212,ES,math,229,13.5
610213,ES,math,284,6.3
610215,ES,math,253,7.9
610216,ES,math,144,12.5
610217,ES,math,314,44.6
610218,ES,math,171,11.1
610219,ES,math,396,20.7
610220,ES,math,402,43.8
610221,ES,math,119,9.2
610223,ES,math,203,3.9
610225,ES,math,140,10
610226,ES,math,348,18.7
610227,ES,math,395,8.6
610228,ES,math,152,3.3
610229,ES,math,444,54.3
610230,ES,math,292,50.7
610231,ES,math,456,27.4
610234,ES,math,182,3.3
610235,ES,math,250,2.8
610237,ES,math,156,1.9
610238,ES,math,125,5.6
610239,ES,math,325,2.5
610242,ES,math,261,6.9
610246,ES,math,544,18.6
610248,ES,math,340,23.8
610249,ES,math,207,16.4
610250,ES,math,219,6.4
610251,ES,math,193,4.7
610252,ES,math,138,0
610254,ES,math,200,3.5
610256,ES,math,26,7.7
610257,ES,math,142,3.5
610263,ES,math,386,1.3
610268,ES,math,219,4.1
610269,ES,math,164,11.6
610271,ES,math,178,8.4
610274,ES,math,126,4
610276,ES,math,153,2
610279,ES,math,157,1.3
610281,ES,math,374,3.7
610282,ES,math,176,4.5
610284,ES,math,170,15.9
610287,ES,math,185,11.9
610290,ES,math,175,1.7
610291,ES,math,426,19.5
610293,ES,math,179,5.6
610295,ES,math,160,6.3
610298,ES,math,175,61.1
610299,ES,math,160,3.1
610300,ES,math,217,3.7
610305,ES,math,162,1.9
