StateAssignedSchID,Subject,GradeLevel,StudentSubGroup_TotalTested,ProficientOrAbove_percent
030262010262001,ela,G06,27,.63
030262010262001,math,G03,34,.235
030262010262001,math,G04,39,.128
030262010262001,math,G05,22,.091
030262010262001,math,G06,27,.148
030262020261001,ela,G07,29,.103
030262020261001,ela,G08,25,.4
030262020261001,math,G07,29,.069
030262020261001,math,G08,25,.08
030262020262001,ela,G03,36,.306
030262020262001,ela,G04,31,.581
030262020262001,ela,G05,29,.31
030262020262001,ela,G06,24,.334
030262020262001,math,G03,36,.083
030262020262001,math,G04,31,.29
030262020262001,math,G05,29,.172
030262020262001,math,G06,24,.083
030262030262008,ela,G03,109,.284
030262030262008,math,G03,109,.293
030262030262009,ela,G04,100,.33
030262030262009,ela,G05,94,.362
030262030262009,ela,G06,113,.584
030262030262009,ela,G07,97,.196
030262030262009,ela,G08,108,.408
030262030262009,math,G04,100,.3
030262030262009,math,G05,94,.064
030262030262009,math,G06,113,.195
030262030262009,math,G07,97,.072
030262030262009,math,G08,108,.167
030262040260002,ela,G06,22,.727
030262040260002,ela,G07,32,.677
030262040260002,ela,G08,19,.579
030262040260002,math,G06,22,.318
030262040260002,math,G07,32,.387
030262040260002,math,G08,19,.369
030262040262001,ela,G03,22,.545
030262040262001,ela,G04,25,.88
030262040262001,ela,G05,27,.593
030262040262001,math,G03,22,.409
030262040262001,math,G04,25,.44
030262040262001,math,G05,27,.333
030680020261002,ela,G06,26,.577
030680020261002,ela,G07,33,.091
030680020261002,ela,G08,17,.588
030680020261002,math,G06,26,.231
030680020261002,math,G07,33,.152
030680020261002,math,G08,17,.353
030680020262005,ela,G03,21,.238
030680020262005,ela,G04,26,.461
030680020262005,ela,G05,35,.543
030680020262005,math,G03,21,.238
030680020262005,math,G04,26,.192
030680020262005,math,G05,35,.4
030680030261002,ela,G06,95,.705
030680030261002,ela,G07,124,.693
030680030261002,ela,G08,98,.724
030680030261002,math,G06,95,.232
030680030261002,math,G07,124,.298
030680030261002,math,G08,98,.214
030680030262003,ela,G03,111,.378
030680030262003,ela,G04,111,.486
030680030262003,ela,G05,92,.598
030680030262003,math,G03,111,.378
030680030262003,math,G04,111,.297
030680030262003,math,G05,92,.326
030680120261002,ela,G06,102,.677
030680120261002,ela,G07,82,.67
030680120261002,ela,G08,79,.785
030680120261002,math,G06,102,.294
030680120261002,math,G07,82,.378
030680120261002,math,G08,79,.303
030680120262006,ela,G03,78,.294
030680120262006,ela,G04,95,.263
030680120262006,ela,G05,93,.344
030680120262006,math,G03,78,.269
030680120262006,math,G04,95,.147
030680120262006,math,G05,93,.237
030680220260001,ela,G06,32,.625
030680220260001,ela,G07,37,.54
030680220260001,ela,G08,46,.63
030680220260001,math,G06,32,.219
030680220260001,math,G07,37,.351
030680220260001,math,G08,46,.326
030680220262003,ela,G03,37,.108
030680220262003,ela,G04,38,.421
030680220262003,ela,G05,43,.605
030680220262003,math,G03,37,.243
030680220262003,math,G04,38,.263
030680220262003,math,G05,43,.442
040041000261002,ela,G06,229,.345
040041000261002,ela,G07,256,.164
040041000261002,ela,G08,272,.392
040041000261002,math,G06,229,.074
040041000261002,math,G07,255,.1
040041000261002,math,G08,272,.149
040041000261003,ela,G06,281,.351
040041000261003,ela,G07,302,.275
040041000261003,ela,G08,270,.387
040041000261003,math,G06,281,.12
040041000261003,math,G07,302,.181
040041000261003,math,G08,270,.167
040041000262003,ela,G03,69,.29
040041000262003,ela,G04,65,.385
040041000262003,ela,G05,68,.299
040041000262003,math,G03,68,.206
040041000262003,math,G04,65,.277
040041000262003,math,G05,68,.269
040041000262005,ela,G03,82,.143
040041000262005,ela,G04,84,.108
040041000262005,ela,G05,90,.207
040041000262005,math,G03,82,.26
040041000262005,math,G04,84,.133
040041000262005,math,G05,90,.126
040041000262007,ela,G03,50,.143
040041000262007,ela,G04,38,.297
040041000262007,ela,G05,48,.188
040041000262007,math,G03,50,.122
040041000262007,math,G04,38,.162
040041000262007,math,G05,48,.188
040041000262008,ela,G03,89,.138
040041000262008,ela,G04,112,.195
040041000262008,ela,G05,106,.145
040041000262008,math,G03,89,.161
040041000262008,math,G04,112,.065
040041000262008,math,G05,106,.068
040041000262009,ela,G03,100,.09
040041000262009,ela,G04,95,.158
040041000262009,ela,G05,112,.197
040041000262009,math,G03,100,.1
040041000262009,math,G04,95,.074
040041000262009,math,G05,112,.107
040041000262010,ela,G03,88,.346
040041000262010,ela,G04,101,.307
040041000262010,ela,G05,110,.365
040041000262010,math,G03,88,.286
040041000262010,math,G04,101,.356
040041000262010,math,G05,110,.261
040042000261001,ela,G07,114,.469
040042000261001,ela,G08,129,.547
040042000261001,math,G07,114,.177
040042000261001,math,G08,129,.242
040042000262001,ela,G03,20,.421
040042000262001,ela,G04,24,.217
040042000262001,math,G03,20,.211
040042000262001,math,G04,24,.217
040042000262002,ela,G03,33,.394
040042000262002,ela,G04,27,.519
040042000262002,math,G03,33,.363
040042000262002,math,G04,27,.519
040042000262004,ela,G03,52,.471
040042000262004,ela,G04,39,.359
040042000262004,math,G03,52,.509
040042000262004,math,G04,38,.421
040042000262005,ela,G05,94,.532
040042000262005,ela,G06,104,.398
040042000262005,math,G05,94,.277
040042000262005,math,G06,105,.164
041011220221005,ela,G07,436,.266
041011220221005,ela,G08,456,.351
041011220221005,math,G07,435,.203
041011220221005,math,G08,453,.212
041011220222005,ela,G03,58,.172
041011220222005,ela,G04,33,.303
041011220222005,ela,G05,63,.238
041011220222005,ela,G06,43,.14
041011220222005,math,G03,58,.189
041011220222005,math,G04,33,.394
041011220222005,math,G05,63,.19
041011220222005,math,G06,43,.047
041011220222006,ela,G03,50,.1
041011220222006,ela,G04,41,.195
041011220222006,ela,G05,44,.387
041011220222006,ela,G06,46,.217
041011220222006,math,G03,50,.12
041011220222006,math,G04,41,.195
041011220222006,math,G05,44,.182
041011220222006,math,G06,46,.065
041011220222007,ela,G03,90,.2
041011220222007,math,G03,90,.256
041011220222008,ela,G03,72,.239
041011220222008,ela,G04,77,.184
041011220222008,ela,G05,60,.167
041011220222008,ela,G06,72,.253
041011220222008,math,G03,72,.211
041011220222008,math,G04,77,.25
041011220222008,math,G05,60,.066
041011220222008,math,G06,72,.127
041011220222010,ela,G03,50,.32
041011220222010,ela,G04,38,.158
041011220222010,ela,G05,50,.28
041011220222010,ela,G06,50,.52
041011220222010,math,G03,50,.22
041011220222010,math,G04,38,.368
041011220222010,math,G05,50,.2
041011220222010,math,G06,50,.26
041011220222011,ela,G03,66,.167
041011220222011,ela,G04,41,.171
041011220222011,ela,G05,40,.2
041011220222011,ela,G06,63,.206
041011220222011,math,G03,65,.169
041011220222011,math,G04,41,.098
041011220222011,math,G05,40,0
041011220222011,math,G06,62,.081
041011220222013,ela,G03,*,--
041011220222013,ela,G04,93,.302
041011220222013,ela,G05,102,.186
041011220222013,ela,G06,101,.327
041011220222013,math,G03,*,--
041011220222013,math,G04,93,.183
041011220222013,math,G05,102,.137
041011220222013,math,G06,101,.139
041011220222014,ela,G03,47,.191
041011220222014,ela,G04,75,.413
041011220222014,ela,G05,63,.429
041011220222014,ela,G06,71,.606
041011220222014,math,G03,47,.425
041011220222014,math,G04,75,.36
041011220222014,math,G05,63,.3
041011220222014,math,G06,71,.409
041011310041002,ela,G06,170,.588
041011310041002,ela,G07,206,.703
041011310041002,ela,G08,178,.77
041011310041002,math,G06,170,.394
041011310041002,math,G07,207,.425
041011310041002,math,G08,178,.517
041011310042001,ela,G04,178,.522
041011310042001,ela,G05,203,.491
041011310042001,math,G04,178,.483
041011310042001,math,G05,203,.435
041011310042003,ela,G03,161,.485
041011310042003,math,G03,161,.453
041011330041001,ela,G05,92,.663
041011330041001,ela,G06,79,.721
041011330041001,ela,G07,88,.853
041011330041001,ela,G08,57,.807
041011330041001,math,G05,92,.5
041011330041001,math,G06,79,.481
041011330041001,math,G07,88,.602
041011330041001,math,G08,57,.457
041011330042001,ela,G03,82,.683
041011330042001,ela,G04,78,.808
041011330042001,math,G03,82,.78
041011330042001,math,G04,78,.564
041011340042001,ela,G03,18,.278
041011340042001,ela,G04,*,--
041011340042001,ela,G05,12,.167
041011340042001,ela,G06,*,--
041011340042001,ela,G07,12,.917
041011340042001,ela,G08,*,--
041011340042001,math,G03,18,.723
041011340042001,math,G04,*,--
041011340042001,math,G05,12,.25
041011340042001,math,G06,*,--
041011340042001,math,G07,12,.584
041011340042001,math,G08,*,--
041011400041001,ela,G06,159,.761
041011400041001,ela,G07,184,.723
041011400041001,ela,G08,178,.82
041011400041001,math,G06,159,.302
041011400041001,math,G07,185,.362
041011400041001,math,G08,178,.404
041011400042002,ela,G03,165,.339
041011400042002,ela,G04,161,.546
041011400042002,ela,G05,196,.622
041011400042002,math,G03,163,.546
041011400042002,math,G04,161,.484
041011400042002,math,G05,197,.523
041012050251001,ela,G06,254,.213
041012050251001,ela,G07,251,.195
041012050251001,ela,G08,256,.196
041012050251001,math,G06,252,.024
041012050251001,math,G07,251,.044
041012050251001,math,G08,253,.051
041012050251006,ela,G06,306,.223
041012050251006,ela,G07,322,.176
041012050251006,ela,G08,309,.25
041012050251006,math,G06,304,.087
041012050251006,math,G07,321,.05
041012050251006,math,G08,308,.062
041012050251008,ela,G06,265,.153
041012050251008,ela,G07,265,.185
041012050251008,ela,G08,254,.336
041012050251008,math,G06,264,.027
041012050251008,math,G07,264,.091
041012050251008,math,G08,252,.056
041012050251009,ela,G06,217,.244
041012050251009,ela,G07,241,.073
041012050251009,ela,G08,237,.234
041012050251009,math,G06,214,.04
041012050251009,math,G07,239,.03
041012050251009,math,G08,237,.018
041012050251010,ela,G06,106,.075
041012050251010,ela,G07,99,.091
041012050251010,ela,G08,115,.078
041012050251010,math,G06,106,0
041012050251010,math,G07,98,0
041012050251010,math,G08,112,.009
041012050252014,ela,G03,64,.047
041012050252014,ela,G04,69,.13
041012050252014,ela,G05,70,.171
041012050252014,ela,G06,62,.306
041012050252014,ela,G07,78,.398
041012050252014,ela,G08,67,.239
041012050252014,math,G03,64,.141
041012050252014,math,G04,69,.072
041012050252014,math,G05,70,.128
041012050252014,math,G06,62,.016
041012050252014,math,G07,78,.077
041012050252014,math,G08,67,.03
041012050252017,ela,G03,83,.084
041012050252017,ela,G04,60,.15
041012050252017,ela,G05,57,.214
041012050252017,math,G03,83,.048
041012050252017,math,G04,60,0
041012050252017,math,G05,57,.143
041012050252018,ela,G03,66,.393
041012050252018,ela,G04,73,.334
041012050252018,ela,G05,73,.452
041012050252018,math,G03,66,.394
041012050252018,math,G04,73,.097
041012050252018,math,G05,73,.261
041012050252019,ela,G03,51,.314
041012050252019,ela,G04,44,.431
041012050252019,ela,G05,61,.361
041012050252019,math,G03,49,.244
041012050252019,math,G04,44,.25
041012050252019,math,G05,60,.083
04101205025201C,ela,G03,29,.138
04101205025201C,ela,G04,25,.24
04101205025201C,ela,G05,25,.08
04101205025201C,ela,G06,27,.185
04101205025201C,ela,G07,27,.074
04101205025201C,ela,G08,27,.259
04101205025201C,math,G03,29,.103
04101205025201C,math,G04,25,.08
04101205025201C,math,G05,25,.12
04101205025201C,math,G06,27,0
04101205025201C,math,G07,27,.074
04101205025201C,math,G08,27,.074
041012050252022,ela,G03,66,0
041012050252022,ela,G04,40,.05
041012050252022,ela,G05,42,.143
041012050252022,math,G03,65,.015
041012050252022,math,G04,40,.025
041012050252022,math,G05,42,.024
041012050252024,ela,G03,81,.062
041012050252024,ela,G04,73,.042
041012050252024,ela,G05,59,.034
041012050252024,math,G03,81,.037
041012050252024,math,G04,74,.027
041012050252024,math,G05,59,0
041012050252027,ela,G03,82,.171
041012050252027,ela,G04,66,.469
041012050252027,ela,G05,60,.35
041012050252027,math,G03,82,.122
041012050252027,math,G04,65,.215
041012050252027,math,G05,60,0
041012050252029,ela,G03,77,.092
041012050252029,ela,G04,67,.062
041012050252029,ela,G05,73,.271
041012050252029,math,G03,77,.079
041012050252029,math,G04,67,.015
041012050252029,math,G05,73,.1
04101205025202C,ela,G03,43,.302
04101205025202C,ela,G04,41,.075
04101205025202C,ela,G05,36,.194
04101205025202C,ela,G06,38,0
04101205025202C,ela,G07,39,.205
04101205025202C,ela,G08,37,.378
04101205025202C,math,G03,43,.279
04101205025202C,math,G04,41,.025
04101205025202C,math,G05,36,.084
04101205025202C,math,G06,38,0
04101205025202C,math,G07,39,.103
04101205025202C,math,G08,37,.081
041012050252034,ela,G03,51,.431
041012050252034,ela,G04,47,.447
041012050252034,ela,G05,41,.414
041012050252034,math,G03,50,.38
041012050252034,math,G04,47,.383
