"school_id","year","level","assessment","subject","tested","proficiency"
"609971",2024,"ES","IAR/PARCC","reading",180,12.2
"609972",2024,"ES","IAR/PARCC","reading",590,15.6
"609973",2024,"ES","IAR/PARCC","reading",347,28.2
"609974",2024,"ES","IAR/PARCC","reading",411,91.7
"609975",2024,"ES","IAR/PARCC","reading",161,18.6
"609976",2024,"ES","IAR/PARCC","reading",517,32.7
"609977",2024,"ES","IAR/PARCC","reading",86,32.6
"609978",2024,"ES","IAR/PARCC","reading",210,21.4
"609979",2024,"ES","IAR/PARCC","reading",882,60.4
"609981",2024,"ES","IAR/PARCC","reading",126,15.1
"609983",2024,"ES","IAR/PARCC","reading",307,15
"609985",2024,"ES","IAR/PARCC","reading",120,9.2
"609986",2024,"ES","IAR/PARCC","reading",142,14.8
"609987",2024,"ES","IAR/PARCC","reading",96,13.5
"609988",2024,"ES","IAR/PARCC","reading",287,25.8
"609990",2024,"ES","IAR/PARCC","reading",486,60.7
"609991",2024,"ES","IAR/PARCC","reading",212,0.9
"609993",2024,"ES","IAR/PARCC","reading",212,17.5
"609994",2024,"ES","IAR/PARCC","reading",483,15.3
"609995",2024,"ES","IAR/PARCC","reading",344,34
"609996",2024,"ES","IAR/PARCC","reading",256,35.9
"609997",2024,"ES","IAR/PARCC","reading",93,6.5
"610000",2024,"ES","IAR/PARCC","reading",210,10.5
"610002",2024,"ES","IAR/PARCC","reading",149,25.5
"610003",2024,"ES","IAR/PARCC","reading",130,19.2
"610004",2024,"ES","IAR/PARCC","reading",120,17.5
"610005",2024,"ES","IAR/PARCC","reading",99,14.1
"610006",2024,"ES","IAR/PARCC","reading",487,32
"610009",2024,"ES","IAR/PARCC","reading",341,51.9
"610010",2024,"ES","IAR/PARCC","reading",114,36.8
"610011",2024,"ES","IAR/PARCC","reading",550,38.9
"610013",2024,"ES","IAR/PARCC","reading",163,9.8
"610015",2024,"ES","IAR/PARCC","reading",145,31
"610016",2024,"ES","IAR/PARCC","reading",189,52.4
"610017",2024,"ES","IAR/PARCC","reading",542,17.7
"610019",2024,"ES","IAR/PARCC","reading",105,21.9
"610021",2024,"ES","IAR/PARCC","reading",208,47.6
"610022",2024,"ES","IAR/PARCC","reading",481,22.5
"610024",2024,"ES","IAR/PARCC","reading",514,34
"610026",2024,"ES","IAR/PARCC","reading",440,68
"610027",2024,"ES","IAR/PARCC","reading",140,29.3
"610029",2024,"ES","IAR/PARCC","reading",125,3.2
"610030",2024,"ES","IAR/PARCC","reading",152,20.4
"610032",2024,"ES","IAR/PARCC","reading",174,26.4
"610033",2024,"ES","IAR/PARCC","reading",321,54.5
"610034",2024,"ES","IAR/PARCC","reading",132,6.8
"610036",2024,"ES","IAR/PARCC","reading",269,13.4
"610037",2024,"ES","IAR/PARCC","reading",148,18.2
"610038",2024,"ES","IAR/PARCC","reading",573,77
"610039",2024,"ES","IAR/PARCC","reading",397,33.8
"610040",2024,"ES","IAR/PARCC","reading",380,13.4
"610041",2024,"ES","IAR/PARCC","reading",714,22.5
"610043",2024,"ES","IAR/PARCC","reading",230,26.1
"610044",2024,"ES","IAR/PARCC","reading",177,19.8
"610046",2024,"ES","IAR/PARCC","reading",701,32.7
"610047",2024,"ES","IAR/PARCC","reading",138,8
"610048",2024,"ES","IAR/PARCC","reading",150,7.3
"610051",2024,"ES","IAR/PARCC","reading",519,11.2
